size,difficulty,mean_accuracy,ci_low,ci_high,n
medium,high,0.16666666666666666,0.11666666666666665,0.21666666666666665,5
medium,low,0.14166666666666666,0.10833333333333332,0.16666666666666666,5
small,high,0.15,0.10833333333333332,0.20833333333333334,5
small,low,0.09166666666666666,0.03333333333333333,0.175,5
tiny,high,0.21666666666666665,0.15833333333333333,0.2833333333333333,5
tiny,low,0.09166666666666666,0.041666666666666664,0.125,5
