label,epsilon,mean_h,ci_low,ci_high,mean_calls,n
drift,0.0,0.1,0.0,0.3,4.0,10
drift,0.05,0.1,0.0,0.3,4.0,10
drift,0.1,0.1,0.0,0.3,4.0,10
fixed,0.0,1.3,1.0,1.8,4.0,10
fixed,0.05,1.3,1.0,1.8,4.0,10
fixed,0.1,1.3,1.0,1.8,4.0,10
uncertainty,0.0,0.2,0.0,0.5,4.0,10
uncertainty,0.05,0.2,0.0,0.5,4.0,10
uncertainty,0.1,0.2,0.0,0.5,4.0,10
