oracle_call,base_reward,folded_reward
319,127.500,0.000
320,128.000,0.000
321,128.500,0.000
322,129.000,0.000
323,129.500,0.000
324,130.000,0.000
325,130.500,0.000
326,130.500,0.000
327,131.000,0.000
328,131.500,0.000
329,132.000,0.000
330,132.500,0.000
331,133.000,0.000
332,133.500,0.000
333,134.000,0.000
334,134.500,0.000
335,135.000,0.000
336,135.500,0.000
337,136.000,0.000
338,136.500,0.000
339,137.000,0.000
340,137.500,0.000
341,138.000,0.000
342,138.500,0.000
343,139.000,0.000
344,139.500,0.000
345,140.000,0.000
346,140.500,0.000
347,141.000,0.000
348,141.500,0.000
349,142.000,0.000
350,142.500,0.000
351,143.000,0.000
352,143.500,0.000
353,144.000,0.000
354,144.500,0.000
355,145.000,0.000
356,145.500,0.000
357,146.000,0.000
358,146.500,0.000
359,147.000,0.000
360,147.500,0.000
361,148.000,0.000
362,148.500,0.000
363,149.000,0.000
364,149.500,0.000
365,150.000,0.000
366,150.500,0.000
367,151.000,0.000
368,151.500,0.000
369,152.000,0.000
370,152.500,0.000
371,153.000,0.000
372,153.500,0.000
373,154.000,0.000
374,154.500,0.000
375,155.000,0.000
376,155.500,0.000
377,156.000,0.000
378,156.500,0.000
379,157.000,0.000
380,157.500,0.000
381,158.000,0.000
382,158.500,0.000
383,159.000,0.000
384,159.500,0.000
385,160.000,0.000
386,160.500,0.000
387,161.000,0.000
388,161.500,0.000
389,162.000,0.000
390,162.500,0.000
391,163.000,0.000
392,163.500,0.000
393,164.000,0.000
394,164.500,0.000
395,165.000,0.000
396,165.500,0.000
397,166.000,0.000
398,166.500,0.000
399,167.000,0.000
400,167.500,0.000
401,168.000,0.000
402,168.500,0.000
403,169.000,0.000
404,169.500,0.000
405,170.000,0.000
406,170.500,0.000
407,171.000,0.000
408,171.500,0.000
409,172.000,0.000
410,172.500,0.000
411,173.000,0.000
412,173.500,0.000
413,174.000,0.000
414,174.500,0.000
415,174.500,0.000
416,175.000,0.000
417,175.500,0.000
418,176.000,0.000
419,176.500,0.000
420,177.000,0.000
421,177.000,0.000
422,177.000,0.000
423,177.500,0.000
424,178.000,0.000
425,178.500,0.000
426,179.000,0.000
427,179.500,0.000
428,180.000,0.000
429,180.500,0.000
430,181.000,0.000
431,181.500,0.000
432,182.000,0.000
433,182.500,0.000
434,183.000,0.000
435,183.500,0.000
436,184.000,0.000
437,184.500,0.000
438,185.000,0.000
439,185.500,0.000
440,186.000,0.000
441,186.500,0.000
442,187.000,0.000
443,187.500,0.000
444,188.000,0.000
445,188.500,0.000
446,189.000,0.000
447,189.500,0.000
448,190.000,0.000
449,190.500,0.000
450,191.000,0.000
451,191.000,0.000
452,191.500,0.000
453,192.000,0.000
454,192.500,0.000
455,192.500,0.000
456,193.000,0.000
457,193.500,0.000
458,194.000,0.000
459,194.500,0.000
460,195.000,0.000
461,195.500,0.000
462,196.000,0.000
463,196.500,0.000
464,197.000,0.000
465,197.500,0.000
466,198.000,0.000
467,198.500,0.000
468,199.000,0.000
469,199.500,0.000
470,200.000,0.000
471,200.500,0.000
472,201.000,0.000
473,201.500,0.000
474,202.000,0.000
475,202.500,0.000
476,203.000,0.000
477,203.500,0.000
478,204.000,0.000
479,204.500,0.000
480,205.000,0.000
481,205.500,0.000
482,206.000,0.000
483,206.500,0.000
484,207.000,0.000
485,207.500,0.000
486,208.000,0.000
487,208.500,0.000
488,209.000,0.000
489,209.500,0.000
490,210.000,0.000
491,210.500,0.000
492,211.000,0.000
493,211.500,0.000
494,212.000,0.000
495,212.500,0.000
496,213.000,0.000
497,213.500,0.000
498,214.000,0.000
499,214.500,0.000
500,215.000,0.000
501,215.500,0.000
502,216.000,0.000
503,216.500,0.000
504,217.000,0.000
505,217.500,0.000
506,218.000,0.000
507,218.500,0.000
508,219.000,0.000
509,219.500,0.000
510,220.000,0.000
511,220.500,0.000
512,221.000,0.000
513,221.500,0.000
514,222.000,0.000
515,222.500,0.000
516,223.000,0.000
517,223.000,0.000
518,223.500,0.000
519,224.000,0.000
520,224.000,0.000
521,224.500,0.000
522,225.000,0.000
523,225.500,0.000
524,226.000,0.000
525,226.500,0.000
526,227.000,0.000
527,227.500,0.000
528,228.000,0.000
529,228.500,0.000
530,229.000,0.000
531,229.500,0.000
532,230.000,0.000
533,230.500,0.000
534,231.000,0.000
535,231.500,0.000
536,232.000,0.000
537,232.500,0.000
538,233.000,0.000
539,233.500,0.000
540,234.000,0.000
541,234.500,0.000
542,235.000,0.000
543,235.500,0.000
544,236.000,0.000
545,236.500,0.000
546,237.000,0.000
547,237.500,0.000
548,238.000,0.000
549,238.500,0.000
550,239.000,0.000
551,239.500,0.000
552,240.000,0.000
553,240.500,0.000
554,241.000,0.000
555,241.500,0.000
556,242.000,0.000
557,242.500,0.000
558,243.000,0.000
559,243.500,0.000
560,244.000,0.000
561,244.500,0.000
562,245.000,0.000
563,245.500,0.000
564,246.000,0.000
565,246.500,0.000
566,247.000,0.000
567,247.500,0.000
568,248.000,0.000
569,248.500,0.000
570,249.000,0.000
571,249.500,0.000
572,250.000,0.000
573,250.500,0.000
574,251.000,0.000
575,251.500,0.000
576,252.000,0.000
577,252.500,0.000
578,253.000,0.000
579,253.500,0.000
580,254.000,0.000
581,254.500,0.000
582,255.000,0.000
583,255.500,0.000
584,256.000,0.000
585,256.500,0.000
586,257.000,0.000
587,257.500,0.000
588,258.000,0.000
589,258.500,0.000
590,259.000,0.000
591,259.500,0.000
592,260.000,0.000
593,260.500,0.000
594,261.000,0.000
595,261.500,0.000
596,262.000,0.000
597,262.500,0.000
598,263.000,0.000
599,263.500,0.000
600,264.000,0.000
601,264.500,0.000
602,265.000,0.000
603,265.500,0.000
604,266.000,0.000
605,266.500,0.000
606,267.000,0.000
607,267.500,0.000
608,268.000,0.000
609,268.500,0.000
610,269.000,0.000
611,269.500,0.000
612,270.000,0.000
613,270.500,0.000
614,271.000,0.000
615,271.500,0.000
616,272.000,0.000
617,272.500,0.000
618,273.000,0.000
619,273.500,0.000
620,274.000,0.000
621,274.500,0.000
622,275.000,0.000
623,275.500,0.000
624,276.000,0.000
625,276.500,0.000
626,277.000,0.000
627,277.500,0.000
628,278.000,0.000
629,278.500,0.000
630,279.000,0.000
631,279.500,0.000
632,280.000,0.000
633,280.500,0.000
634,281.000,0.000
635,281.500,0.000
636,281.500,0.000
637,282.000,0.000
638,282.500,0.000
639,283.000,0.000
640,283.500,0.000
641,284.000,0.000
642,284.500,0.000
643,285.000,0.000
644,285.500,0.000
645,286.000,0.000
646,286.500,0.000
647,287.000,0.000
648,287.500,0.000
649,288.000,0.000
650,288.500,0.000
651,289.000,0.000
652,289.500,0.000
653,290.000,0.000
654,290.500,0.000
655,291.000,0.000
656,291.500,0.000
657,292.000,0.000
658,292.500,0.000
659,293.000,0.000
660,293.500,0.000
661,294.000,0.000
662,294.500,0.000
663,295.000,0.000
