world_size,model_label,metric,mean,ci_lo,ci_hi,n
25,d64-mp3,lift_top1,0.106481,0.067460,0.178571,3
25,d64-mp3,lift_mrr,0.109973,0.087887,0.130423,3
25,d64-mp3,oracle_top1,0.461640,0.402778,0.561508,3
25,d64-mp3,vicreg_top1,0.355159,0.335317,0.382937,3
25,d64-mp3,oracle_std,0.800301,0.777372,0.840236,3
25,d64-mp3,vicreg_std,0.443867,0.425194,0.473320,3
25,d64-mp3,none_std,0.026088,0.021699,0.032109,3
25,d128-mp3,lift_top1,0.025794,-0.027778,0.099206,3
25,d128-mp3,lift_mrr,0.062936,0.028557,0.092097,3
25,d128-mp3,oracle_top1,0.418651,0.365079,0.486111,3
25,d128-mp3,vicreg_top1,0.392857,0.386905,0.398810,3
25,d128-mp3,oracle_std,0.767098,0.757480,0.782289,3
25,d128-mp3,vicreg_std,0.338766,0.333313,0.346923,3
25,d128-mp3,none_std,0.014648,0.012908,0.017465,3
50,d64-mp3,lift_top1,0.095899,-0.003968,0.194444,3
50,d64-mp3,lift_mrr,0.131674,0.076091,0.167295,3
50,d64-mp3,oracle_top1,0.463624,0.388889,0.571429,3
50,d64-mp3,vicreg_top1,0.367725,0.333333,0.392857,3
50,d64-mp3,oracle_std,0.811144,0.762952,0.863651,3
50,d64-mp3,vicreg_std,0.454101,0.440361,0.476867,3
50,d64-mp3,none_std,0.030703,0.020696,0.049768,3
50,d128-mp3,lift_top1,-0.035053,-0.222222,0.095238,3
50,d128-mp3,lift_mrr,-0.013182,-0.172803,0.084321,3
50,d128-mp3,oracle_top1,0.339947,0.142857,0.503968,3
50,d128-mp3,vicreg_top1,0.375000,0.351190,0.408730,3
50,d128-mp3,oracle_std,0.590693,0.066449,0.862736,3
50,d128-mp3,vicreg_std,0.341992,0.338081,0.346760,3
50,d128-mp3,none_std,0.015320,0.010215,0.020883,3
100,d64-mp3,lift_top1,0.002646,-0.065476,0.039683,3
100,d64-mp3,lift_mrr,0.033981,-0.000231,0.057927,3
100,d64-mp3,oracle_top1,0.390873,0.351190,0.428571,3
100,d64-mp3,vicreg_top1,0.388228,0.359127,0.416667,3
100,d64-mp3,oracle_std,0.817397,0.772786,0.854564,3
100,d64-mp3,vicreg_std,0.447880,0.412946,0.477930,3
100,d64-mp3,none_std,0.028657,0.026132,0.033430,3
100,d128-mp3,lift_top1,-0.085979,-0.113095,-0.059524,3
100,d128-mp3,lift_mrr,-0.011607,-0.022884,0.006647,3
100,d128-mp3,oracle_top1,0.300926,0.267857,0.323413,3
100,d128-mp3,vicreg_top1,0.386905,0.371032,0.408730,3
100,d128-mp3,oracle_std,0.831712,0.821086,0.842550,3
100,d128-mp3,vicreg_std,0.342590,0.336430,0.346846,3
100,d128-mp3,none_std,0.014298,0.011840,0.018242,3
200,d64-mp3,lift_top1,-0.026455,-0.069444,0.057540,3
200,d64-mp3,lift_mrr,0.026123,-0.013261,0.080352,3
200,d64-mp3,oracle_top1,0.320767,0.285714,0.376984,3
200,d64-mp3,vicreg_top1,0.347222,0.319444,0.367063,3
200,d64-mp3,oracle_std,0.770951,0.683083,0.815300,3
200,d64-mp3,vicreg_std,0.452439,0.435498,0.469470,3
200,d64-mp3,none_std,0.024464,0.023102,0.026212,3
200,d128-mp3,lift_top1,-0.093915,-0.111111,-0.067460,3
200,d128-mp3,lift_mrr,-0.004691,-0.033877,0.025033,3
200,d128-mp3,oracle_top1,0.271164,0.216270,0.311508,3
200,d128-mp3,vicreg_top1,0.365079,0.327381,0.388889,3
200,d128-mp3,oracle_std,0.771860,0.714429,0.812642,3
200,d128-mp3,vicreg_std,0.346881,0.337950,0.361304,3
200,d128-mp3,none_std,0.017960,0.014390,0.020818,3
