difficulty,composed,multiplicative,weakest_link,r_mult,r_weak,verdict,a_fd,a_fs,a_global,a_proc
high,0.06666666666666667,0.19593749999999996,0.4166666666666667,0.12927083333333328,0.35000000000000003,coupled,0.4166666666666667,0.9,0.825,0.6333333333333333
low,0.08333333333333333,0.24794328703703705,0.48333333333333334,0.16460995370370374,0.4,coupled,0.48333333333333334,0.7416666666666667,1.0,0.6916666666666667
