label,epsilon,mean_h,ci_low,ci_high,mean_calls,n
drift,0.0,2.0,0.7,3.9,7.0,10
drift,0.05,2.0,0.7,3.9,7.0,10
drift,0.1,2.1,0.7,4.2,7.0,10
fixed,0.0,1.9,1.1,3.1,7.0,10
fixed,0.05,1.9,1.1,3.1,7.0,10
fixed,0.1,2.0,1.2,3.2,7.0,10
uncertainty,0.0,3.4,1.1,6.0,7.0,10
uncertainty,0.05,3.4,1.1,6.0,7.0,10
uncertainty,0.1,3.5,1.1,6.1,7.0,10
