schedule,label,rho,random_breach,adversarial_breach,mean_calls,n_episodes,horizon
uniform,uniform ρ=0,0.000,0.995000,1.000000,0.000000,200,48
uniform,uniform ρ=0.1,0.100,0.940000,1.000000,4.000000,200,48
uniform,uniform ρ=0.2,0.200,0.895000,1.000000,9.000000,200,48
uniform,uniform ρ=0.3,0.300,0.790000,1.000000,16.000000,200,48
uniform,uniform ρ=0.5,0.500,0.650000,1.000000,24.000000,200,48
uniform,uniform ρ=1,1.000,0.000000,0.000000,48.000000,200,48
model,model self-targeting,,0.995000,1.000000,0.075000,200,48
structure,structure (crown-jewel),,0.000000,0.000000,4.070000,200,48
