label,epsilon,mean_h,ci_low,ci_high,mean_calls,n
belief_filter,0.0,0.9,0.2,1.7,7.0,10
belief_filter,0.05,0.9,0.2,1.7,7.0,10
belief_filter,0.1,1.2,0.5,1.9,7.0,10
hard_reset,0.0,1.9,1.1,3.1,7.0,10
hard_reset,0.05,1.9,1.1,3.1,7.0,10
hard_reset,0.1,2.0,1.2,3.2,7.0,10
projection,0.0,1.9,1.1,3.1,7.0,10
projection,0.05,1.9,1.1,3.1,7.0,10
projection,0.1,2.0,1.2,3.2,7.0,10
residual,0.0,1.9,1.1,3.1,7.0,10
residual,0.05,1.9,1.1,3.1,7.0,10
residual,0.1,2.0,1.2,3.2,7.0,10
