arm,metric,mean,ci_lo,ci_hi,n
batch,one_step_exact,0.5417,0.4583,0.6250,10
batch,free_horizon,4.0000,2.4000,5.5000,10
batch,plasticity,0.9503,0.9503,0.9503,1
stream+replay,one_step_exact,0.4708,0.3792,0.5667,10
stream+replay,free_horizon,1.7000,1.1000,2.3000,10
stream+replay,plasticity,0.9663,0.9663,0.9663,1
stream-no-replay,one_step_exact,0.0958,0.0625,0.1333,10
stream-no-replay,free_horizon,0.5000,0.1000,0.9000,10
stream-no-replay,plasticity,0.7655,0.7655,0.7655,1
