world_size,model_label,metric,mean,ci_lo,ci_hi,n
5,d48-mp3,collapse_gap_rank,13.374689,12.719741,13.973723,4
5,d48-mp3,collapse_gap_std,0.310847,0.253009,0.390958,4
5,d48-mp3,residual_gap,0.069444,-0.004630,0.129630,4
5,d48-mp3,oracle_off_rank,24.807194,24.210443,25.497661,4
5,d48-mp3,learned_off_rank,11.432505,10.279073,12.643780,4
5,d48-mp3,residual_acc_residual,0.472222,0.439815,0.495370,4
5,d48-mp3,residual_acc_likelihood,0.402778,0.351852,0.449074,4
10,d48-mp3,collapse_gap_rank,8.380694,7.799017,9.018370,4
10,d48-mp3,collapse_gap_std,0.341217,0.314477,0.364942,4
10,d48-mp3,residual_gap,0.000000,-0.035211,0.035211,4
10,d48-mp3,oracle_off_rank,21.509044,20.926837,21.851635,4
10,d48-mp3,learned_off_rank,13.128350,12.286056,13.970644,4
10,d48-mp3,residual_acc_residual,0.461268,0.443662,0.482394,4
10,d48-mp3,residual_acc_likelihood,0.461268,0.436620,0.485915,4
15,d48-mp3,collapse_gap_rank,7.677456,6.699564,8.655348,4
15,d48-mp3,collapse_gap_std,0.253116,0.240829,0.269685,4
15,d48-mp3,residual_gap,0.006250,-0.009375,0.028125,4
15,d48-mp3,oracle_off_rank,21.480583,20.894499,22.066668,4
15,d48-mp3,learned_off_rank,13.803127,13.366470,14.290110,4
15,d48-mp3,residual_acc_residual,0.440625,0.418750,0.471875,4
15,d48-mp3,residual_acc_likelihood,0.434375,0.425000,0.443750,4
