panel,isolation,metric,value,ci_lo,ci_hi,detail
lost_update,serializable,anomaly_rate,0.0000,,,anomalies=0/3;tier_b_agrees=True
lost_update,snapshot,anomaly_rate,0.0000,,,anomalies=0/3;tier_b_agrees=True
lost_update,read_committed,anomaly_rate,1.0000,,,anomalies=3/3;tier_b_agrees=True
abort_rate,serializable,abort_rate,0.5250,0.5000,0.5625,
abort_rate,snapshot,abort_rate,0.5375,0.5000,0.5750,
abort_rate,read_committed,abort_rate,0.0000,0.0000,0.0000,
